2025-10-30 16:36:32 | DEBUG    | root | Configured logging; writing mirrored output to C:\Users\mccat\Desktop\Fast-Marching-Tree\output\logs\run_20251030_163632_012457.log
2025-10-30 16:36:32 | INFO     | __main__ | Log file initialised at C:\Users\mccat\Desktop\Fast-Marching-Tree\output\logs\run_20251030_163632_012457.log
2025-10-30 16:36:32 | DEBUG    | PIL.PngImagePlugin | STREAM b'IHDR' 16 13
2025-10-30 16:36:32 | DEBUG    | PIL.PngImagePlugin | STREAM b'IDAT' 41 80
2025-10-30 16:36:32 | INFO     | src.mapping.builder | Built occupancy grid: origin=(0.0, 0.0) size=(400,200) resolution=0.200 inflation=0.60
2025-10-30 16:36:32 | INFO     | src.mapping.builder | Exported occupancy PNG to artifacts\maps\high_speed.png
2025-10-30 16:36:32 | INFO     | src.planning.fmt_planner | Starting FMT planning with 600 samples, radius 7.00, goal bias 0.70
2025-10-30 16:36:32 | DEBUG    | src.planning.fmt_planner | Sampled 600 collision-free states
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Constructed neighbour sets for 600 samples
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 4 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 3 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 1 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 1 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 1 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 3 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 1 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 1 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 3 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 1 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 4 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 3 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 2 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 3 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 1 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 4 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 3 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 5 after expansion; goal in frontier=False
2025-10-30 16:36:35 | DEBUG    | src.planning.fmt_planner | Frontier size 477 after expansion; goal in frontier=True
2025-10-30 16:36:35 | INFO     | src.planning.fmt_planner | FMT search connected goal with cost 100.67
2025-10-30 16:36:36 | INFO     | src.planning.fmt_planner | FMT plan complete: 3 raw waypoints, cost 100.67
2025-10-30 16:36:36 | INFO     | __main__ | Planned end-to-end scenario; path length 200 waypoints
2025-10-30 16:36:36 | INFO     | src.sim.simulator | Simulator started: dt=0.080, duration=10.00, steps=125, target_length=96.71
2025-10-30 16:36:36 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.00/96.71, horizon 4, dt 0.08
2025-10-30 16:36:36 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:36:36 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.600 accel=5.000 progress=0.00
2025-10-30 16:36:36 | DEBUG    | src.tracking.mpc_tracker | MPC setup: progress 0.01/96.71, horizon 4, dt 0.08
2025-10-30 16:36:36 | DEBUG    | src.tracking.mpc_tracker | MPC solver status: optimal
2025-10-30 16:36:36 | INFO     | src.tracking.mpc_tracker | MPC command: steer=0.600 accel=5.000 progress=0.01
